datetime,title
2017-11-27,培养 | 2017-11-14 关于2018年春季毕业研究生证件照拍摄工作的通知
2017-11-27,培养 |  关于遴选2018年ＣＳＣ与欧洲学院合作奖学金项目留学人员的通知
2017-11-27,培养 |  2017年复旦大学研究生科研资助项目立项名单公示
2017-11-27,培养 |  关于2018-2019年耶鲁大学福克斯国际奖学金项目的通知
2017-11-27,FIST | 2017年复旦大学研究生FIST项目课程选课报名通知
2017-11-27,培养 |  关于挑选优秀博士生出席德国第68届诺贝尔奖获得者大会的通知
2017-11-27,培养 |  关于组织开展研究生科研资助项目申报工作的通知
2017-11-27,培养 |   关于参加英国牛津大学James Crabbe教授学术报告的通知
2017-11-27,培养 | 关于做好2017年中秋节、国庆节放假研究生教学工作调整安排的通知
2017-11-27,培养 |  关于选拔2018-2019年度哈佛燕京学社中国印度研究访问学人项目候选人的通知
2017-11-27,培养 | 第九届国际研究生奖学金信息说明会参会信息
2017-09-12,培养 | 关于2017年12月全国大学英语四、六级考试报名的通知
2017-09-12,培养 | 关于做好2017-2018学年第一学期研究生注册工作的通知
2017-09-12,培养 |  关于推荐研究生参加2017年东亚研究型大学协会研发政策专题研讨会的通知
2017-09-12,培养 | 关于开展国家留学基金委资助研究生到国际组织实习项目的申请与推荐工作的通知
2017-09-12,培养 | 2017级复旦大学研究生第一外国语（英语）申请免修暂行实施办法
2017-09-12,综合 | 汉堡复旦青年学者论坛征稿启事
2017-09-12,培养 | 关于做好2017-2018学年第一学期教学教务工作安排的通知
2017-09-12,培养 | 关于加强第三届中国“互联网+”大学生创新创业大赛组织报名工作的通知
2017-09-12,综合 | 关于2017年夏季毕业、学位证书及授予学位决定发放与领取工作安排的通知
2017-09-12,培养 |  2017年复旦大学博士生短期国际访学资助计划项目入选学生名单 
2017-09-12,培养 | 2017年研究生公共选修课立项项目公示
2017-09-12,培养 | 关于2017年中国研究生创新实践系列大赛“华为杯”第十四届中国研究生数学建模竞赛参赛通...
2017-09-12,培养 |  2017-2018年度“中英联合研究创新基金博士生交流项目”信息
2017-09-12,学位 | 第四期研究生导师沙龙邀请函
2017-06-05,综合 | 关于2017年户口在校毕业生户口迁移的通知.pdf
2017-06-05,综合 | 关于张江校区研究生成绩单及学籍证明自助打印机放置地点调整的通知
2017-06-05,培养 | 关于做好2017年端午节假期教学调整安排的通知
2017-06-05,培养 | 关于2017年夏秋两季毕业研究生证件照拍摄工作的通知
2017-06-05,培养 | 关于组织“第三届中国研究生未来飞行器创新大赛”报名工作的通知
2017-06-05,FIST | 关于公布2017年研究生FIST项目立项课程名单的通知
2017-06-05,培养 | 关于2018年度探索区域教育协作新机制试验 （长三角教育协作发展）项目申报工作的通知
2017-06-05,培养 | 关于组织报名参加“华为杯”第十二届中国研究生电子设计竞赛的通知
2017-06-05,培养 | 关于推选上海高校学生创造发明“科技创业杯”奖项目的通知
2017-06-05,培养 | 关于组织2017年上海市研究生创新创业能力培养计划申报工作的通知
2017-06-05,学位 | 第三期研究生导师沙龙通知
2017-06-05,综合 | “复旦大学研究生教育”微信公众号正式发布
2017-06-05,学位 | 第二期研究生导师沙龙通知
2017-06-05,综合 | 关于开展2017年度博士后创新人才支持计划申报工作的通知
2016-12-28,学位 | 2016年研究生导师及管理干部培训大会暨“研究生导师服务中心”揭牌仪式举行
2016-12-28,学位 | 第一期研究生导师沙龙通知
2016-12-28,2019年“网络安全优秀教师奖”推荐人选公示
2016-12-28,培养 |  国家留学基金管理委员会与以色列高等教育委员会合作奖学金
2016-12-28,培养 | 关于开展2017年复旦大学博士生短期国际访学资助计划申报工作的通知
2016-12-28,培养 | 2017年CSC-IBM中美百名青年大数据科学家合作项目信息
2016-12-28,培养 | 2017年伦敦国王学院—王宽诚教育基金博士后奖学金信息
2016-12-28,培养 | 2017-2018年度加拿大魁北克省政府奖学金项目信息
2016-12-28,培养 | 2017-2018年度中新政府博士研究生奖学金项目信息
2016-12-28,培养 | 德国联邦总理未来人才奖学金项目通知
2016-12-28,培养 | 2017年广州市“菁英计划”留学项目信息
2016-12-28,培养 | 关于遴选2018-2019年度中美富布赖特联合培养博士生项目出国留学候选人的通知 
2016-12-28,培养 | 复旦大学2017年国家留学基金资助出国留学人员推荐候选人（研究生）第二批名单公示
2016-12-28,培养 | 复旦大学2017年国家留学基金资助出国留学人员推荐候选人（研究生）名单公示
2017-01-18,培养 | CSC-里昂大学（法国）博士生项目奖学金信息
2017-01-18,培养 | Yale Fox International Fellowship Program 2017-2018 推荐名单公示
2017-01-18,培养 | 2017年丁肇中AMS 实验室公派留学项目信息
2017-01-18,培养 | 关于做好2017年国家留学基金资助出国留学项目选派工作的通知
2017-01-18,培养 | 2017年国家公派出国留学项目宣讲会信息
2017-01-18,培养 | CSC-大阪大学（日本）博士研究生奖学金项目信息
